theta,d_theta,-3.0,0.0,3.0
-2.7156,-27.791,0.0,0.0,0.0
-2.7156,-25.3744,-11.376590882432751,-9.758339471424636,-10.657030891332498
-2.7156,-22.9578,-1075.9651301649862,-1047.584042171289,-1097.1854084600427
-2.7156,-20.5412,-1177.4200868793264,-1319.71904965434,-1318.4960872371844
-2.7156,-18.1246,-1422.922805621775,-1442.4691144383573,-1422.90576818657
-2.7156,-15.708,-1447.5659909464684,-1464.0441554788954,-1462.5355638068988
-2.7156,-13.2914,-1561.6651951988665,-1570.2470085611972,-1574.270071147102
-2.7156,-10.8747,-1514.9834326992632,-1498.390907650054,-1496.9742150400843
-2.7156,-8.4581,-1222.2497692193397,-1221.0702446436017,-1243.0231518668622
-2.7156,-6.0415,-1402.3694589888457,-1383.758863127871,-1442.1937720537162
-2.7156,-3.6249,-1396.7166090170135,-1404.2301172337225,-1404.7842832537106
-2.7156,-1.2083,-1378.4838413991479,-1373.317909737197,-1374.8570017701288
-2.7156,1.2083,-1390.4599943416918,-1391.1176084087247,-1392.4386775806565
-2.7156,3.6249,-1402.4695230706989,-1403.4275417006222,-1405.906211374627
-2.7156,6.0415,-1336.1503691547355,-1331.6062483280155,-1335.9158061928968
-2.7156,8.4581,-1201.9598359443398,-1196.4811770903405,-1200.705967685658
-2.7156,10.8747,-1126.698399881127,-1130.6350707111576,-1121.6002248019909
-2.7156,13.2914,-1074.947229357381,-1072.1404646099845,-1063.5282249479694
-2.7156,15.708,-996.1058403244588,-989.1620273863323,-986.0195020897984
-2.7156,18.1246,-917.0078768249612,-911.3413893454888,-910.9817315652382
-2.7156,20.5412,-836.0093687061636,-834.756945657778,-833.6578253864917
-2.7156,22.9578,-587.8573998906548,-590.6471221344582,-590.4484962135035
-2.7156,25.3744,-93.47200223702507,-113.3788896574871,-50.429962839731985
-2.7156,27.791,-12.708372430386047,-11.5378658097387,-12.26890955528515
-2.7156,30.2076,0.0,0.0,0.0
-2.7156,32.6242,0.0,0.0,0.0
-2.7156,35.0408,0.0,0.0,0.0
-2.7156,37.4575,0.0,0.0,0.0
-2.7156,39.8741,0.0,0.0,0.0
-2.7156,42.2907,0.0,0.0,0.0
-2.7156,44.7073,0.0,0.0,0.0
-2.7156,47.1239,0.0,0.0,0.0
-2.6091,-47.1239,0.0,0.0,0.0
-2.6091,-44.7073,0.0,0.0,0.0
-2.6091,-42.2907,0.0,0.0,0.0
-2.6091,-39.8741,0.0,0.0,0.0
-2.6091,-37.4575,0.0,0.0,0.0
-2.6091,-35.0408,0.0,0.0,0.0
-2.6091,-32.6242,0.0,0.0,0.0
-2.6091,-30.2076,0.0,0.0,0.0
-2.6091,-27.791,0.0,0.0,0.0
-2.6091,-25.3744,-10.740975108017189,0.0,-10.494991719561234
-2.6091,-22.9578,-1042.9310741522893,-1067.0006975199465,-1079.4020770633128
-2.6091,-20.5412,-1199.2230137989438,-1268.2408982146935,-1262.6452919139538
-2.6091,-18.1246,-1385.801237515094,-1392.3072223347162,-1403.796351693412
-2.6091,-15.708,-1394.6387825561935,-1390.0737120277124,-1387.5943339577116
-2.6091,-13.2914,-1469.5133001421618,-1465.1935375304217,-1477.697969756003
-2.6091,-10.8747,-1431.2959532194427,-1433.0372963735733,-1437.6638760366877
-2.6091,-8.4581,-1285.7630063828485,-1171.6507013809196,-1278.936105939328
-2.6091,-6.0415,-1236.0363765293405,-1243.4083320035454,-1238.4940929563263
-2.6091,-3.6249,-1372.05451648573,-1362.0202923685158,-1427.4846474441524
-2.6091,-1.2083,-1372.632087338257,-1373.0433695232764,-1373.3391071727485
-2.6091,1.2083,-1378.4061973576559,-1378.061678192498,-1378.9680325240486
-2.6091,3.6249,-1355.1604934333325,-1357.7409467876444,-1356.3695914851028
-2.6091,6.0415,-1300.4903781294,-1291.8086612084066,-1298.0653575224342
-2.6091,8.4581,-1162.6889253867837,-1170.5536077727152,-1154.0256613291147
-2.6091,10.8747,-1075.9297856130988,-1069.0033654793726,-1064.650471053044
-2.6091,13.2914,-1020.1907783349559,-1020.4417808561336,-999.698838630185
-2.6091,15.708,-926.1513000196935,-918.5801423907221,-912.7764396394681
-2.6091,18.1246,-860.5232772619248,-854.2752485350281,-854.2060326123332
-2.6091,20.5412,-773.5940357234703,-772.8208950545265,-768.3434188552317
-2.6091,22.9578,-564.6634068885813,-557.9574127534413,-539.081830147557
